"url","titre","date_formate","invite","description_invite","chaine","emission"
"https://www.europe1.fr/emissions/linterview-politique-de-8h20/sebastien-chenu-il-faut-interdire-les-freres-musulmans-753384","Sébastien Chenu : «Il faut interdire les Frères musulmans»",2025-05-22,"Sébastien Chenu","vice-président du Rassemblement national et député RN du Nord","Cnews/Europe1","La grande interview de Sonia Mabrouk"
"https://www.europe1.fr/emissions/linterview-politique-de-8h20/jean-francois-cope-cet-entrisme-extremiste-instrumentalise-beaucoup-de-nos-compatriotes-de-confession-musulmane-753210","Jean-François Copé : «Cet entrisme extrémiste instrumentalise beaucoup de nos compatriotes de confession musulmane»",2025-05-21,"Jean-François Copé","maire LR de Meaux et ancien ministre","Cnews/Europe1","La grande interview de Sonia Mabrouk"
"https://www.europe1.fr/emissions/linterview-politique-de-8h20/sophie-primas-nous-nacceptons-plus-la-honte-de-la-rupture-de-laide-humanitaire-a-gaza-753061","Sophie Primas : «Nous n'acceptons plus la honte de la rupture de l'aide humanitaire à Gaza»",2025-05-20,"Sophie Primas","porte-parole du gouvernement","Cnews/Europe1","La grande interview de Sonia Mabrouk"
"https://www.europe1.fr/emissions/linterview-politique-de-8h20/bruno-retailleau-74-meme-dans-mes-reves-les-plus-fous-je-ne-lavais-pas-imagine-752912","Bruno Retailleau : «74%, même dans mes rêves les plus fous, je ne l'avais pas imaginé»",2025-05-19,"Bruno Retailleau","ministre de l’intérieur et président des LR","Cnews/Europe1","La grande interview de Sonia Mabrouk"
"https://www.europe1.fr/emissions/linterview-politique-de-8h20/laurent-wauquiez-quand-je-serai-president-des-republicains-je-mengage-a-ne-rentrer-dans-aucun-gouvernement-macroniste-752534","Laurent Wauquiez : «Quand je serai président des Républicains, je m'engage à ne rentrer dans aucun gouvernement macroniste»",2025-05-16,"Laurent Wauquiez","président du groupe Droite Républicaine à l’Assemblée Nationale et candidat à la présidence LR","Cnews/Europe1","La grande interview de Sonia Mabrouk"
"https://www.europe1.fr/emissions/linterview-politique-de-8h20/narcotrafic-la-crainte-cest-que-ces-reseaux-se-retournent-contre-les-institutions-souligne-laurent-nunez-748445","Narcotrafic : «La crainte, c'est que ces réseaux se retournent contre les Institutions», souligne Laurent Nunez",2025-05-15,"Laurent Nunez","préfet de police de Paris","Cnews/Europe1","La grande interview de Sonia Mabrouk"
"https://www.europe1.fr/emissions/linterview-politique-de-8h20/bruno-retailleau-les-capacites-dacccueil-de-la-france-sont-saturees-745948","Bruno Retailleau : «Les capacités d'acccueil de la France sont saturées»",2025-05-14,"Bruno Retailleau","ministre de l'Intérieur","Cnews/Europe1","La grande interview de Sonia Mabrouk"
"https://www.europe1.fr/emissions/linterview-politique-de-8h20/interview-de-kamel-daoud-certains-devraient-plus-sen-inspirer-estime-aurore-berge-745782","Interview de Kamel Daoud : «Certains devraient plus s'en inspirer», estime Aurore Bergé",2025-05-13,"Aurore Bergé","ministre déléguée chargée de l’Egalité entre les femmes et les hommes et de la Lutte contre les discriminations","Cnews/Europe1","La grande interview de Sonia Mabrouk"
"https://www.europe1.fr/emissions/linterview-politique-de-8h20/projet-de-loi-sur-la-fin-de-vie-ce-texte-est-terrifiant-denonce-marion-marechal-745634","Projet de loi sur la fin de vie : «Ce texte est terrifiant», dénonce Marion Maréchal",2025-05-12,"Marion Maréchal","eurodéputée et présidente de Identité-Libertés","Cnews/Europe1","La grande interview de Sonia Mabrouk"
"https://www.europe1.fr/emissions/linterview-politique-de-8h20/accueil-du-president-syrien-ahmed-al-charaa-emmanuel-macron-merite-la-destitution-estime-nicolas-dupont-aignan-726934","Accueil du président syrien Ahmed al-Charaa : «Emmanuel Macron mérite la destitution», estime Nicolas Dupont-Aignan",2025-05-08,"Nicolas Dupont-Aignan","président de Debout la France, candidat à l’élection présidentielle de 2027 et auteur de ""Où va le pognon ?"" aux éditions de l’Archipel","Cnews/Europe1","La grande interview de Sonia Mabrouk"
